location,route_name,difficulty_rating,Description,Directions,Protection
Metal Mania Boulder,Check It,V0-1,Climb the juggy overhang next to the trail on the south side of the boulder. Sit start on some good holds and work your way up the face. Walk off on the right (east side).,,Just a pad.
Metal Mania Boulder,Metal Mania,V1-2,Short route. But kinda fun to try out. Weird start on uncomfortable sit start.,,"Pads are helpful but are not required, (you are like 3 feet above ground). Spotter."
Mother Boulder,Motherfucker Traverse,V4-5,"Start on a rock/tree to the left of the low angle decent and traverse the boulder going left. Some sketchy lichen awaits on the south side along the crack, but not to worry, you have to move through there quick anyway or the angry natives will swarm your position. Stay fairly low along the length of the traverse to keep the difficulty up, or climb higher (V1-) for a more casual route with good feet. End back on level ground where the downclimb from the top of the boulder is.",,Boulder pad and a buddy dragging it under you if you actually want a pad.
Saddle Boulders,Biotech,V2-3,"Start under the far right side of the large overhang on the lower (Y Crack) boulder and climb up and left to the blunt arete on many slopers and sidepulls. Once you hit the jug near the bottom of the arete, climb the slightly overhanging jugfest on the arete to the top. 
 
There are many opportunities for eliminates on this face.",,a pad or two and a spotter recommended.
Scootch Boulder,Ashes in the Wake,V7+,"Start on an obvious low two hand match on the far left edge of the boulder. Traverse the entire boulder to the right staying at least 6 inches to a foot below the jugs near the lip of the boulder. This seemingly holdless variation to the traverse requires finding all the small, often sharp or bleak holds and dialing in the sequence before sending this super sustained enduro test piece. A good route to work on when taking a break from working the near by Scotts traverse as it's a short step down in difficulty, but not endruance. Named after a small fire swept through the area a day or two after the FA.",,Round up for the thistle that grows in the late spring.
Scott's Rock,Coulda been Jimi's,V3,Right of Jimi's Butt Crack. Sit start going up and right to a slab finish.,,Pad
Scott's Rock,Jimis Butt Crack,V4,This is the somewhat obvious crack just left of center on the North side of Scotts Rock. Sit start below the seam but realize the holds don't exactly follow the it.,,Pad
Scott's Rock,Scott's Traverse,V9,"Traverse the entire boulder starting on a small rounded rock pedestal left of Coulda been Jimi's. Drop down almost immediately and stay fairly low the entire way. Once you reach the crack (you should still be really low to the ground) pull through the semi short but stout crux and reach for some thank god jugs rounding the corner. It's not over yet as now you must drop back down to a series of moves up a right leaning ramp/rail and commit to the final 8 ft of micro crimps and blisteringly thin feet of Smoke Pot Row. A slightly ascending brutally thin and sustained V4 traverse with a rounded desperate slap fest exit on the South (low angle) side of the boulder. Best of luck! 
 
There is a V7 variation that is mostly the same but takes the hardest moves in the Crux out. Follow the same traverse from the start, but at the crack (Jimmi's Butt Crack) climb up and use the rounded rail and better holds above to aid your scamper across the steep face before dropping back down to round the corner. You still gotta finish on Smoke Pot Row V4 though. Don't cheat yourself...",,Pad and ibuprofen
Scott's Rock,Should'a been Jimi's,V4,Starts a few feet to the right of Jimi's Butt Crack. Sit start in a shallow scoop and pull up and slightly left through several crimps pinches and slopers. Then lunge for a jug at the top. Scramble up the mossy face from there and walk off the back side (south) of the boulder.,,Pad
The Boulder of Bloody Madness,Bloody Madness,V3,Sit start just left of the center of the overhanging face - or: stand start= V2,,pads
The Boulder of Bloody Madness,Stoned Dangler,V5,"A pumpy traverse that starts to the far right side of the Boulder of Bloody Madness on an obvious two handed, chest height rail just around the corner. Drop down and begin a sequential and pumpy traverse which quickly rises up to an obvious rail and your first rest. Now gain access into the long horizontal crack system that splits the boulder and fight the pump all the way across the face until you end up on the large juggy moves on the far left side. 
 
You can give up there or go for the glory by climbing up the juggy overhanging arete above to the top of the boulder for the real finish.",,pads - optional.
Cattle Drive Rock,Cattle Drive,V3,"Cattle Drive traverses the rock starting to the far right on the East side of the rock. Start on a series of sidepulls and jugs and round the corner to the ridiculously slick ramp. Next, low ball traverse across the face on balancy rails and a perplexing series of holds. Top out on the arete for the V1+ version or round the corner on the big rail down low and make your way across the face to the crack and finish on Cow Tipping for the full V3 version. Continuing around the corner to the low angle face instead of topping out on Cow Tipping is the more popular version and is still V3.",,A pad or two may be wise for some as a balancy part sits right over a REALLY sharp rock.
Cattle Drive Rock,Cow Tipping,V1,"Cow Tipping is the easiest route that heads up the overhang on the uphill side of Cattle Drive Rock. Find something to get yourself off the ground (which can be tricky), and move yourself up and over the roof. 
 
Almost everything in and around the roof is loose. Losing a hand while pulling the roof requires some good padding and spotting. Losing a foot will probably require some reconstructive facial surgury.",,"A pad or two is wise for the lower section, once over the roof bring a crew to ctach you in case you blow a hnad or foot."
Stonewall Rock,Buttcracker,V5,sit start in center of face in the cave/corridor on the backside of the stonewall boulder.,,pads? and t.p. for your bunghole
Stonewall Rock,Nutcracker,V2-3,sit start crack in cave/corridor.,,pads? and spotter?
Stonewall Rock,Stonewall Traverse,V1,traverse the face inside the small stonewall.,,a pad or spotter might help.
Heavy Metal Boulder,Crooked Cross Traverse,V5,"This problem is located to the right of the down climb around the corner in the weeds. 
 
Right to left traverse from a sit along horizontal crack. V2 if you use holds other than what's provided from the crack.",,Pad.
Heavy Metal Boulder,Heavy Metal Traverse,V4,"Start on high shelf on the right side of the boulder and work your way left. From slopers, to crimpers, side clings to technical footwork, this route is a great project for those in the v3-v5 range. 
 
Having 2 pads would be a safe bet, you're feet are under a slight overhang and your back is over another small boulder the whole route until nice juggy finish. Crux is moving from slopey section to final pinch before jug.",,
Purgatory Boulder,Right arete,V2,Up the arete on the right hand side of the overhanging boulder.,,pad
Purgatory Boulder,Unnamed V0,V0,Left of Purgatory start at the edge of the creek on good holds and make an exciting move to better holds and top out in the mini corner. Great problem/warmup. Also the start of Welcome to the Whine Country traverse.,,Pad and spotter to keep you out of the water.
Purgatory Boulder,Welcome to the Whine Country,V8,A left to right epic traverse starting left of Purgatory on obvious good holds and ending on Right Arete problem traversing all the way across the highball overhanging face.,,Pads and spotters.
Roadside Boulder,Roadside Traverse,V6-7,Right to left traverse. Moving upward as you traverse. Low variation is V8/9,,Pad
The Weasel Boulder,Chickadee,V0-,Middle of slab go up.,,Pad.
Bluff Boulder,Bluff Traverse,V0,Start either on the left or right side and traverse the rock. Great to run laps on before taking on harder climbs.,,None
Bluff Boulder,Bluff Warm Up,V0,"On the right side of the rock closest to the ocean, start low and head up the face. Great way to get the fingers loose for some of the harder climbs in the area.",,"Short climb, single pad will suffice."
The Quarry,Lieback,V2,Start on the lowest holds and lieback your way up the obvious line and mantle.,,Pad
Johnny Cash Boulders,Yellowfoot,V3,"Yellowfoot is the first route that you see upon following the path the The Johnny Cash Boulders, and is distinct from other routes on the rock by the large 24"" wide ledge in the middle of the route. 
 
The route starts below a giant ledge that once held a giant block on two jugs. Head up into the block, up and through to the giant sloper of a face that's above.",,A couple of pads below would be wise.
North Rock,Jugular,V1,"This route ascends the second most arete to the right on the wall, which is just left of the first cave. 
 
Climb up a juggy climb with hidden but excellent surprises on the way, as you ascend to a top out that's quite high, but completely secure. 
 
Enjoy!",,Lotsa crashpads. Lotsa Crashpads. Lotsa Peeps surrounding those crashpads.
North Rock,Off the Heezy,V1,"This problem start to the left of ""Jugular"". The key to this problem is getting to the hueco and standing up to the next hold. After you make the long reach the rest of the problem is cake. Just walk off the top and then take a deep breath and be thankfull you did not test your spotters. It is a long way down.",,"Crash Pads a plenty, the best pro is don't fall."
Sabertooth,Sabertooth,V4,Climb the arete,,Pads and spotters. Don't fall into the pit!
Triceratops Boulder,Caveman,V5-6,"Start on the same underclings as Triceratops. Move directly across the roof using some funky toe hooks/cams and exit right. 
 
Please correct the name if wrong. Can't find it referenced anywhere.",,Pad
Triceratops Boulder,Triceratops,V4,Sit start on the underclings and move up the incredible prow.,,Pad
The Shroom Boulder,Between a Rock and a Hard Place,V6,"Start left of vise grip on 2 small pockets then reach and jam your way past the crack to the sloper top out -traverse right into the same finish as ""Vise Grip""This problem used to be more fun before the tree fell next to it. Now it feels like you could smack your ass on the tree if you fall funny at the crux!? -thus the name: ""Between a Rock and a Hard Place""",,pads and spotter (and some charmin t.p. stuffed in your briches.!?)
The Shroom Boulder,Hit or Miss,V1,"Left around the corner from ""Vise Grip"", on the side closest to the road. Climb the slab straight up. Beware the landing though.",,This is a fairly bad landing because the rock curves back under where you would land. A pad and a couple spotters would be nice.
The Shroom Boulder,Vise Grip,V3,Start on the lower rail and work your way up to the large nose. Grab it tight and work your feet up until you can throw to the top.,,Spotter and a pad
South Rock,Crack Head,V2,Start at the crack next to the tree and traverse left using the finger crack and rails heading upwards until you can top out.,,Have a ton of spotters and a bunch of crashpads. There is no way to make this one 100% safe.
South Rock,Fisk Mill Traverse,V2,Start at the bottom right and work your way left. This is a long strenuous problem. Thankfully there are enough rests along the way that you should be able to get throught the problem with only a few rough spots.,,Long problem so a spotter to move the crashpad for you and keep you from rolling down the hill.
South Rock,M-80,V1,"This was a fun problem. Start low and head up the face to the large hueco. The next move is a long stand up move to a small right hand ledge. The next set of moves are a little tricky, but not super hard. The top out is easy and you can just walk off the rock up the hill.",,Set a top rope or grow a huge set of tesicles.
South Rock,Ride or Die,V4,"Start left of the tree where ""Crack Head"" starts but instead of traversing left head straight up. Don't fall into the tree whatever you do.",,You can set a top rope from one of the trees above the route or use a lot of crash pads and make sure your heath insurance is up to date.
South Rock,Unknown,V0,Simple warm up. This problem is on the far left of the South Boulder. Just start it low and head up the face.,,Unlike everything else on this rock this problem can be done with a single crashpad and a spotter.
South Rock,Windmill,V2,Basically you either need to be really tall or dyno from the jug in the middle to a ledge near the top. Would be a better problem if the landing were not so tricky.,,"As always with this rock, many pads, many spotters."
Waterfall Boulders,Jump Start,V4,Start with slopers on the left side of the Alyssa Milano Boulder and campus up with little to no feet,,NA
Hard Boulder,Hard On,V5,Traverse west face -usually done from right to left.Staying low is Hard On Direct V10.,,Pads?
Hard Boulder,Hard Right,V4,Traverse up and right above trail in corridor.,,Pads.
Hard Boulder,Hard Up,V3,Sit start in center of overhanging west face.,,Pad?
Heel Hooker Boulder,Heel Hooker Traverse,V2,"This problem is on the first boulder to your left as you approach Sunset Boulders. Starting low on the left hand side traverse right using the edge of the rock at the top. If you want to make the problem a bit harder ones you reach the edge of the lip continue to traverse right around the face, probably a V2 that way.",,Spotter and a Pad.
Jason’s Boulder,Jason Dies,V6,Traverse Right to Left staying low.,,Crashpad and a spotter.
Jason’s Boulder,Jason Lives,V6,Traverse low across face of first boulder you come to when coming down the trail from the parking area.,,Pad?
Jason’s Boulder,Top Traverse,V0,"This problem is on the same rock as the two Jason problems, but as opposed to traversing low, stay high and traverse left to right. Good problem to get the fingers warmed up on.",,Spotter and a pad.
Lamb Boulder,Skullcracker,V2,"Starts to the left of ""The Specialist"". Sit start to a small ledge work your way up into a mantle and top out.",,Two crashpads and a spotter should do. Watch your head on the pointy rock under the problem. It is not called Skullcracker for nothing.
Lamb Boulder,The Specialist,V4,Overhanging face above flat rock landing. Start on undercling with both hands then try to pull onto slab! (Or V5 sit start.),,Pad?
Mammoth Rock,Mid-Term,V0,"Starts near the right hand side follows the crack up. Corresponds with number 4 on the picture. Once you have this crack nailed move on to ""Final Exam"".",,A good spotter and a crashpad.
Mammoth Rock,Sunset Traverse,V2,This climb is on the back side of the left most rock as you approach Sunset Boulders. You start on the left side and traverse right. Great endurance problem.,,Spotter and a pad.
Mammoth Rock,Undercling Face Problem,V2,"Start on the left hand side on a large undercling about four feet up. Head up and right to two crimps and then finally to the large jug, top out. This route corresponds to number 2 on the picture.",,Spotter and a pad.
Mammoth Rock,Wam-Up Face,V0,"On the far right side, start low and head straight up the face and top out. This route corresponds to number 5 on the picture.",,Spotter and a pad.
Ram Rock,The Bulge,V2,"Climb up the short overhung section just left of The Sunset Face. Using the slab to the left is off. It's V2 if you use the large grip up and right on the arete, and probably a V5 if you call that off and head up to the sidepull mid left for the next motion. 
 
Have fun finding a way to do this route statically.",,3 bolt top anchor above. Bring a long sling to get the rop to set up correctly above this route.
Ram Rock,Pelican Arete,,"Climb the interesting and sustained right arete, without using the left arete. Holds are more plentiful around the right side of the arete. Sustained and intersting, this is an excellent warmup route for more advanced climbers, and a difficult yet doable first 5.10. 
 
This route is often bouldered, though the crux is about 10' off the ground, so place your crashpad carefully!",,3 bolt anchor at the top. Bring a long sling (10') to set up a top rope.
Ram Rock,Sunset Face Left,V0-,"Climb the left side of the scenic sunset face, with excellent views of the ocean if you ever take a chance to turn around on this climb. 
 
This is an excellent 5.9, with many good yet hidden holds all the way up the route. There are also rests galore, due to the slabbyness of the face.",,"Don't fall if you're bouldering. 
 
To set up a top rope, there are three bolts that hang directly above this route. Bring two slings, one 8' and another 6' for a backup. To access the top, you must climb one of several access routes, which range from 5.2 to 5.7."
Ram Rock,Sunset Slab,,Climb the only large corner on the sea facing side of the rock. This route is primarily used to set up a top rope using the bolts on the ends of the rock.,,"It will take some ingenuity to set up a rope on top of this route, though it's doable. Bring cams, LONG slings, and brains to set up tne top rope. 
 
Due to the nature of the route, most people don't bother. Just climb it, and don't fall!"
Super Slab,Abalone,V7,Sit start in center of overhanging face at base of slab. Traverse across sloper rail from right to left.,,Lowball bouldering traverse-you barely need a pad!
Super Slab,Bulls on Parade,V7,Low traverse from right to left under roof. Not as scrunchy as it looks.,,Pads.
Super Slab,Dragonslayer,V3,Stand start face/arete.,,Pads.
Super Slab,Mouse Crack,V0,Face moves at start lead to an easy but high corner/crack top out.,,Pads.
Super Slab,Not So Super Slab,V0,highball slab,,pads
Super Slab,Super Abalone,V8,Start on far right side of overhanging face at base of slab.Traverse left past heinous slopers and toe/heel hooks into Abalone finish.,,"Pads (or not, i fell off onto my ass many times here before pads were invented - so take it like a man!)"
Super Slab,Super Slab,V6,Same sit start as Abalone in center of overhanging face at base of slab but go straight up onto slab to finish.,,Pad.
Super Slab,Super Slab Traverse,V0,Slab traverse.,,Low slab traverse with a fairly good landing.
Highest Rock,Chimney,V0-,"Climb the crack on the West side of the highest rock. 
 
Climbing isn't difficult - finding things to hold onto as you enter the crack in the beginning and exiting in the end that won't break is very difficult. 
 
If you fall on this route (due to breaking holds, rock, shrubs, etc.) you will tumble down the rock hillside full of sharp rocks and poison oak. So - DON'T FALL.",,A large pile of crashpads and a small army is the only thing that will protect you from falling down the hillside if you fall.
Isthmus Northeast Boulder,Center Problem,V3,"Start low and climb straight up overhanging rock, onto the face above then mantle. 
 
In the pict below, start with your hands where Neha's left heal is.",,pads can't hurt but even the small rocks beneath are pretty soft.
Southmost Black Rock,SouthEast Bulge route,V0-,"Climbing the Southeast face up to the bulge is the easiest way up. Unfourtunately, it's also the easiest way down. There are no bolts up top. There is no protection, though you might get a medium friend in under the undercling halfway up. 
 
This is not a route for the faint of heart. 
 
Climbing starts on excellent rock with some interesting mantle and undercling moves. As you get near the top, climbing gets simpler, but the quality of rock degrades. 
 
Watch your step on the way down. It's a LONG fall into the talus field below.",,A pile of pads will help for the first 15 feet.
Sport Rock (aka North Pointed Rock),Wrist Slitter Traverse,V3,"This is the best problem we found at Twin Coves. 
 
Starting 20' left and downhill from the beginning of Seagull arete you will find an overhung section that allows for a great bouldering traverse. Start on the large jug in the slot, and move steadily uphill on the arete. Continue uphill with hands and feet on the arete and mantle out just before the large bulge around the corner from Seagull Arete. 
 
The final moves are guaranteed to slit your wrist.",,crashpads and a spotter. The ground's not so nice under the problem.
Overhung Tooth Boulder,Skillsaw,V3,"Sit start on right side of ""overhung tooth boulder"".",,pad
The Untamed Rocks,The Knifeblade Traverse,V0,"To the right of the ""main"" trail at the base of and facing the huge block on the right.",,pads
The Untamed Rocks,Trick ot Treat,V4,"Start about 5 feet left of ""Shit Face"" and traverse right to finish at the base of ""Smoke Crack"". Thin technical slabby face climbing.",,pads
The Asteroid Boulders,The Fifth Element,V5,Sit start on the smaller boulder next to The Asteroid and Traverse up + left to arete finish. Or: V4 stand start or V1 arete start.,,Pad.
The Asteroid Boulders,The Milky Way Traverse,V7,Sit start on the far left-side of The Asteroid Boulder and traverse along the slopey lip to far right side of the boulder then top out via the big knobs on Meteor(V0).Or: Stand start= V6,,Pads.
The Asteroid Boulders,Neptune,V7,Sit start on small overhanging boulder. Go direct V7(straight up face) or go left up slopey arete V6.,,Pads.
Canyon Trail Boulder,The Kids' Climb,V0-,sit start or stand start depending on how tall you are - on the right side of the canyon trail boulder.,,pads or giant spotters (aka - parents)
Canyon Trail Boulder,Trailblazer,V2,"Sit start in the depression on the left side of the rock, and move up to the large jug on the right. 
 
This is a bunched up fun problem that tall people might have some trouble with.",,Pad maybe. The hard part's about 2 feet off the ground.
Canyon Trail Boulder,Trailblazer Arete,V2,Sit start on the obvious arete and follow it left to the top.,,A pad
Canyon Trail Boulder,Trailblazer Traverse,V2,"The Trailblazer traverse starts on the large jug on the right side of the Canyon Trail Boulder, moves left into the depression, and then up over the top. 
 
Moving into the start of Trailblazer can be tricky.",,Pad maybe. The hard part's about 2 feet off the ground.
Hide Out Boulder,Bunchgrass,V1,Sit start below the arete on the far left side of the boulder next to the tree. The stand start on the arete is a V0.,,A pad
Hide Out Boulder,Four Ferns,V6,This route is located on the backside of the Hide Out boulder. It's a two hand start. Right hand on a side-pull crimp and the other on a sloper. The key is to get a good right foot toe hook. Start the route and go up left along the arete by bumping your left hand.,,Two pads and a spotter.
Hide Out Boulder,Hide,V3,Start on the obvious rail on the far right of the boulder. Traverse left along the crack and finish into Bunchgrass. The lip of the boulder is off.,,A pad
Hide Out Boulder,Leaf Liter,V0,Stand start on the face just to the right of the left-hand arete.,,A pad
Hide Out Boulder,Seek,V0,Start on the obvious rail on the far right of the boulder. Traverse left across the lip and finish into the end of Bunchgrass.,,A pad
Hide Out Boulder,Sweet Leaf,V2,Sit start Leaf Liter,,A pad
Love and Hate,Hate,V2,Left arete,,pads
Love and Hate,Love,V0,Right arete.,,Pads.
Love and Hate,Love and Hate,V4,"Climb below the arete of Love starting on small hands and moving right to left, finishing into Hate (V2).The arete of Love is off. 
 
It's tempting to try and move up in the middle, but there's no where to move up to! This scrunchy problem will annoy, frustrate and cramp, but it's an excellent problem.",,A pad and a spotter to prevent a crash down the hillside.
The Sacred Rocks,Call of the Wild,V3,stand start on horizontal jug on right side of main face,,pads
The Sacred Rocks,The Sacred Traverse,V2,traverse from left to right same as the sugar traverse but don't top out on the call of the wild just step off.,,pads
The Sacred Rocks,The Sugar Traverse,V4-5,"Start on far left and traverse to far right into ""Call of the Wild"" (V3) to finish.",,Pad.
The Sacred Rocks,White Fang,V6,"Sit start on pockets and crank out overhang past the ""white fang""!",,Pad.
SugarSmack Boulder,Finger Tingla,V3,"On the downhill side of the Sugarsmack boulder, this problem heads up the less than vertical face moving in from the left. Move up to a shitty finger tingler in the middle of the face for the right hand, and get your left hand up to a solid ledge that's just a little further away than you want it to be. Bring your feet up and top out straight over the top on hands that are solid but reachy.",,3 pads and a spotter to make sure you don't crash into the tree. Place 2 unopened pads to equal the height of the rock on the left side of the problem.
SugarSmack Boulder,Finger Tingla Traverse,V4,"This route starts on the jug of the Sugarsmack traverse, and pulls through the crappy hand of the Finger Tingla, bypassing the large jug to the left of the tiny arete. 
 
Walk off the back.",,"3 pads and a spotter to ensure that you don't crash into the tree below the pads. 2 of the pads should be stacked unopened below the large rock in the landing, and the third over the rock and other pads."
SugarSmack Boulder,Sugar Smack,V4,Sit start on edges and make a big smack move up to sloper then do V1 stand start.,,Pad.
SugarSmack Boulder,SugarSmack Traverse,V2,"On the downhill side of the Sugarsmack boulder, this problem starts on a jug below some unbrushed loose crap at the arete on the low end of the boulder. 
 
From the jug, move left staying low, and treverse up to the section of the face where there are actually good hands. Top out via a jug that's oh so nice.",,The hard part is about 2 feet off the ground.
Triangle Boulder - Sugarloaf Ridge,Pyramid Power,V2,2-hand sit start in the middle of the boulder. Make a powerful move to the flat jug and top out.,,A pad
Triangle Boulder - Sugarloaf Ridge,Triangle Arete,V3,Sit start at base of short triangle shaped arete. or: stand start = V0.,,pads
